year,avg_depth,min_depth,shallow_events,total_events,shallow_share_percent
1996,10.0,10.0,0,1,0.0
1997,5.0,5.0,0,2,0.0
1998,10.0,10.0,0,1,0.0
1999,5.0,5.0,0,1,0.0
2000,7.5,5.0,0,2,0.0
2001,5.0,5.0,0,1,0.0
2002,5.0,5.0,0,1,0.0
2004,8.35,5.0,0,2,0.0
2005,9.7,6.9,0,2,0.0
2008,5.766666666666667,3.0,1,3,33.33333333333333
2009,2.6,0.4,1,2,50.0
2010,4.133333333333334,2.0,1,3,33.33333333333333
2011,10.0,10.0,0,1,0.0
2014,2.8,2.6,2,2,100.0
2015,2.25,1.0,7,8,87.5
2016,1.0,0.0,6,6,100.0
2017,1.4,1.0,4,4,100.0
2018,1.609375,0.5,31,32,96.875
2019,2.5526315789473686,0.1,16,19,84.21052631578947
2020,1.853846153846154,0.3,47,52,90.38461538461539
2021,1.8773333333333335,0.3,71,75,94.66666666666667
2022,1.8343065693430658,0.2,130,137,94.8905109489051
2023,2.088646288209607,0.1,424,458,92.57641921397381
2024,2.0499207606973058,0.1,579,631,91.75911251980983
2025,2.5910784313725492,0.1,947,1020,92.84313725490196
2026,2.371304347826087,0.3,100,115,86.95652173913044
